coo (3, 1, 2, 0) CC(=O)[O-] |(-5.51,14.903,18.272;-4.042,15.137,18.025;-3.544,16.157,18.547;-3.374,14.316,17.348)|
coo (6, 7, 9, 8) CC(=O)[O-] |(-7.253,15.208,20.148;-7.823,16.493,19.579;-7.059,17.488,19.447;-9.039,16.491,19.239)|
ccoh (12, 18, 19, 35) [H]OCC |(-9.415,12.627,18.375;-9.499,11.916,19;-9.637,12.459,20.326;-8.382,13.231,20.716)|
ccoh (15, 16, 17, 33) [H]OCC |(-10.065,14.913,19.547;-10.838,14.375,19.422;-10.871,13.347,20.426;-10.915,14,21.806)|
ccoh (16, 18, 19, 35) [H]OCC |(-9.415,12.627,18.375;-9.499,11.916,19;-9.637,12.459,20.326;-10.871,13.347,20.426)|
ccoh (18, 16, 17, 33) [H]OCC |(-10.065,14.913,19.547;-10.838,14.375,19.422;-10.871,13.347,20.426;-9.637,12.459,20.326)|
coh (16, 17, 33) [H]OC |(-10.065,14.913,19.547;-10.838,14.375,19.422;-10.871,13.347,20.426)|
coh (18, 19, 35) [H]OC |(-9.415,12.627,18.375;-9.499,11.916,19;-9.637,12.459,20.326)|
ccn (1, 3, 4, 21, 22) [H][N+]([H])CC |(-6.906,13.481,17.882;-5.923,13.623,17.709;-5.395,12.88,18.14;-5.51,14.903,18.272;-4.042,15.137,18.025)|
ccn (1, 3, 4, 21, 23) [H][N+]([H])CC |(-6.906,13.481,17.882;-5.923,13.623,17.709;-5.753,13.623,16.715;-5.51,14.903,18.272;-4.042,15.137,18.025)|
ccn (1, 3, 4, 22, 23) [H][N+]([H])CC |(-5.395,12.88,18.14;-5.923,13.623,17.709;-5.753,13.623,16.715;-5.51,14.903,18.272;-4.042,15.137,18.025)|
ccn (5, 3, 4, 21, 22) [H][N+]([H])CC |(-6.906,13.481,17.882;-5.923,13.623,17.709;-5.395,12.88,18.14;-5.51,14.903,18.272;-5.785,15.003,19.773)|
ccn (5, 3, 4, 21, 23) [H][N+]([H])CC |(-6.906,13.481,17.882;-5.923,13.623,17.709;-5.753,13.623,16.715;-5.51,14.903,18.272;-5.785,15.003,19.773)|
ccn (5, 3, 4, 22, 23) [H][N+]([H])CC |(-5.395,12.88,18.14;-5.923,13.623,17.709;-5.753,13.623,16.715;-5.51,14.903,18.272;-5.785,15.003,19.773)|
bb_cnh (3, 4, 21) [H][N+]C |(-6.906,13.481,17.882;-5.923,13.623,17.709;-5.51,14.903,18.272)|
bb_cnh (3, 4, 22) [H][N+]C |(-5.395,12.88,18.14;-5.923,13.623,17.709;-5.51,14.903,18.272)|
bb_cnh (3, 4, 23) [H][N+]C |(-5.753,13.623,16.715;-5.923,13.623,17.709;-5.51,14.903,18.272)|
